mission,direction,heure_re_sceaux,delta_sceaux,heure_re_antony,delta_antony,heure_re_bourg_la_reine,delta_bourg_la_reine,heure_re_chatelet,delta_chatelet,heure_re_aulnay,delta_aulnay,heure_re_cdg1,delta_cdg1,heure_re_vert_galant,delta_vert_galant
KLEE76,Sud,,,2026-04-17 08:31:06+02:00,4.0,2026-04-17 08:25:25+02:00,3.0,2026-04-17 08:04:14+02:00,3.0,2026-04-17 07:37:40+02:00,4.0,,,2026-04-17 07:30:50+02:00,7.0
STIN78,Sud,2026-04-17 08:30:47+02:00,12.0,,,2026-04-17 08:28:35+02:00,3.0,2026-04-17 08:07:05+02:00,3.0,2026-04-17 07:40:21+02:00,3.0,2026-04-17 07:26:00+02:00,6.0,,
PAUL80,Sud,,,2026-04-17 08:35:56+02:00,5.0,2026-04-17 08:31:06+02:00,3.0,2026-04-17 08:09:54+02:00,3.0,2026-04-17 07:43:30+02:00,3.0,,,2026-04-17 07:36:00+02:00,5.0
LORE82,Sud,,,2026-04-17 08:36:39+02:00,1.0,2026-04-17 08:31:49+02:00,1.0,2026-04-17 08:10:07+02:00,0.0,2026-04-17 07:46:59+02:00,3.0,2026-04-17 07:32:00+02:00,6.0,,
KLEE84,Sud,,,2026-04-17 08:39:23+02:00,3.0,2026-04-17 08:33:42+02:00,2.0,2026-04-17 08:13:27+02:00,3.0,2026-04-17 07:50:20+02:00,3.0,,,2026-04-17 07:42:40+02:00,7.0
STIN86,Sud,2026-04-17 08:38:46+02:00,8.0,,,2026-04-17 08:36:34+02:00,3.0,2026-04-17 08:15:53+02:00,2.0,2026-04-17 07:53:00+02:00,3.0,2026-04-17 07:38:00+02:00,6.0,,
PAUL88,Sud,,,2026-04-17 08:44:09+02:00,5.0,2026-04-17 08:39:19+02:00,3.0,2026-04-17 08:19:07+02:00,3.0,2026-04-17 07:55:20+02:00,2.0,,,2026-04-17 07:48:00+02:00,5.0
LORE90,Sud,,,2026-04-17 08:46:19+02:00,2.0,2026-04-17 08:41:29+02:00,2.0,2026-04-17 08:20:58+02:00,2.0,2026-04-17 07:58:00+02:00,3.0,2026-04-17 07:44:00+02:00,6.0,,
KLEE92,Sud,,,2026-04-17 08:51:10+02:00,5.0,2026-04-17 08:45:29+02:00,4.0,2026-04-17 08:23:37+02:00,3.0,2026-04-17 08:01:20+02:00,3.0,,,2026-04-17 07:54:00+02:00,6.0
STIN94,Sud,2026-04-17 08:50:16+02:00,12.0,,,2026-04-17 08:48:04+02:00,3.0,2026-04-17 08:26:35+02:00,3.0,2026-04-17 08:03:50+02:00,3.0,2026-04-17 07:50:00+02:00,6.0,,
PAUL96,Sud,,,2026-04-17 08:55:46+02:00,5.0,2026-04-17 08:50:56+02:00,3.0,2026-04-17 08:29:44+02:00,3.0,2026-04-17 08:07:27+02:00,4.0,,,2026-04-17 08:00:00+02:00,6.0
LORE98,Sud,,,2026-04-17 08:58:19+02:00,3.0,2026-04-17 08:53:29+02:00,3.0,2026-04-17 08:32:47+02:00,3.0,2026-04-17 08:10:30+02:00,3.0,2026-04-17 07:56:00+02:00,6.0,,
KLAC02,Sud,,,2026-04-17 09:04:57+02:00,7.0,2026-04-17 08:59:16+02:00,6.0,2026-04-17 08:37:02+02:00,4.0,2026-04-17 08:14:45+02:00,4.0,,,2026-04-17 08:07:37+02:00,8.0
STRI04,Sud,2026-04-17 09:01:36+02:00,11.0,,,2026-04-17 08:59:24+02:00,0.0,2026-04-17 08:38:17+02:00,1.0,2026-04-17 08:15:50+02:00,1.0,2026-04-17 08:02:00+02:00,6.0,,
PAGE06,Sud,,,2026-04-17 09:07:09+02:00,2.0,2026-04-17 09:02:19+02:00,3.0,2026-04-17 08:41:28+02:00,3.0,2026-04-17 08:19:11+02:00,3.0,,,2026-04-17 08:12:21+02:00,5.0
LORD08,Sud,,,2026-04-17 09:10:49+02:00,4.0,2026-04-17 09:05:59+02:00,4.0,2026-04-17 08:44:07+02:00,3.0,2026-04-17 08:21:50+02:00,3.0,2026-04-17 08:08:00+02:00,6.0,,
KLAC10,Sud,,,2026-04-17 09:14:10+02:00,3.0,2026-04-17 09:08:29+02:00,3.0,2026-04-17 08:47:07+02:00,3.0,2026-04-17 08:24:50+02:00,3.0,,,2026-04-17 08:18:00+02:00,6.0
STRI12,Sud,2026-04-17 09:13:36+02:00,12.0,,,2026-04-17 09:11:24+02:00,3.0,2026-04-17 08:50:07+02:00,3.0,2026-04-17 08:27:50+02:00,3.0,2026-04-17 08:14:00+02:00,6.0,,
PAGE14,Sud,,,2026-04-17 09:19:09+02:00,5.0,2026-04-17 09:14:19+02:00,3.0,2026-04-17 08:53:07+02:00,3.0,2026-04-17 08:30:50+02:00,3.0,,,2026-04-17 08:24:00+02:00,6.0
LORD16,Sud,,,2026-04-17 09:22:19+02:00,3.0,2026-04-17 09:17:29+02:00,3.0,2026-04-17 08:56:07+02:00,3.0,2026-04-17 08:33:50+02:00,3.0,2026-04-17 08:20:00+02:00,6.0,,
KLAC18,Sud,,,2026-04-17 09:26:10+02:00,4.0,2026-04-17 09:20:29+02:00,3.0,2026-04-17 08:59:07+02:00,3.0,2026-04-17 08:36:50+02:00,3.0,,,2026-04-17 08:30:00+02:00,6.0
STRI20,Sud,2026-04-17 09:25:36+02:00,12.0,,,2026-04-17 09:23:24+02:00,3.0,2026-04-17 09:02:07+02:00,3.0,2026-04-17 08:39:50+02:00,3.0,2026-04-17 08:26:00+02:00,6.0,,
PPIT22,Sud,,,2026-04-17 09:31:19+02:00,5.0,2026-04-17 09:26:29+02:00,3.0,2026-04-17 09:05:07+02:00,3.0,2026-04-17 08:42:50+02:00,3.0,,,2026-04-17 08:36:00+02:00,6.0
USER24,Sud,,,,,,,2026-04-17 09:08:07+02:00,3.0,2026-04-17 08:45:50+02:00,3.0,2026-04-17 08:32:00+02:00,6.0,,
KFON26,Sud,,,2026-04-17 09:37:15+02:00,6.0,2026-04-17 09:31:44+02:00,5.0,2026-04-17 09:11:07+02:00,3.0,2026-04-17 08:48:50+02:00,3.0,,,2026-04-17 08:42:00+02:00,6.0
USER28,Sud,,,,,,,2026-04-17 09:14:07+02:00,3.0,2026-04-17 08:51:50+02:00,3.0,2026-04-17 08:38:00+02:00,6.0,,
SORI30,Sud,2026-04-17 09:40:36+02:00,15.0,,,2026-04-17 09:38:24+02:00,7.0,2026-04-17 09:17:07+02:00,3.0,2026-04-17 08:54:50+02:00,3.0,,,2026-04-17 08:48:00+02:00,6.0
USER32,Sud,,,,,,,2026-04-17 09:20:07+02:00,3.0,2026-04-17 08:57:50+02:00,3.0,2026-04-17 08:44:00+02:00,6.0,,
PLAC34,Sud,,,2026-04-17 09:44:12+02:00,7.0,2026-04-17 09:39:32+02:00,1.0,2026-04-17 09:23:07+02:00,3.0,2026-04-17 09:00:50+02:00,3.0,,,2026-04-17 08:54:00+02:00,6.0
KOCQ36,Sud,,,2026-04-17 09:52:15+02:00,8.0,2026-04-17 09:46:44+02:00,7.0,2026-04-17 09:26:07+02:00,3.0,2026-04-17 09:03:50+02:00,3.0,2026-04-17 08:50:00+02:00,6.0,,
ULMS38,Sud,,,,,,,2026-04-17 09:29:07+02:00,3.0,2026-04-17 09:06:50+02:00,3.0,2026-04-17 08:55:40+02:00,6.0,,
