mission,direction,heure_th_sceaux,delta_sceaux,heure_th_antony,delta_antony,heure_th_bourg_la_reine,delta_bourg_la_reine,heure_th_chatelet,delta_chatelet,heure_th_aulnay,delta_aulnay,heure_th_cdg1,delta_cdg1,heure_th_vert_galant,delta_vert_galant
ERIC53,Nord,,,2026-04-16 09:42:09+02:00,7.0,2026-04-16 09:47:47+02:00,6.0,2026-04-16 10:08:00+02:00,6.0,2026-04-16 10:27:10+02:00,3.0,2026-04-16 10:39:30+02:00,8.0,,
EPAF55,Nord,,,2026-04-16 09:50:19+02:00,8.0,2026-04-16 09:54:46+02:00,7.0,2026-04-16 10:11:00+02:00,3.0,2026-04-16 10:33:10+02:00,6.0,2026-04-16 10:46:50+02:00,7.0,,
ILOT57,Nord,2026-04-16 09:54:38+02:00,15.0,,,2026-04-16 09:56:41+02:00,2.0,2026-04-16 10:17:00+02:00,6.0,2026-04-16 10:39:20+02:00,6.0,,,2026-04-16 10:45:30+02:00,15.0
ERIC59,Nord,,,2026-04-16 09:57:09+02:00,7.0,2026-04-16 10:02:47+02:00,6.0,2026-04-16 10:23:00+02:00,6.0,2026-04-16 10:42:10+02:00,3.0,2026-04-16 10:54:30+02:00,8.0,,
EPAF61,Nord,,,2026-04-16 10:05:19+02:00,8.0,2026-04-16 10:09:46+02:00,7.0,2026-04-16 10:26:00+02:00,3.0,2026-04-16 10:48:10+02:00,6.0,2026-04-16 11:01:50+02:00,7.0,,
ILOT63,Nord,2026-04-16 10:09:38+02:00,15.0,,,2026-04-16 10:11:41+02:00,2.0,2026-04-16 10:32:00+02:00,6.0,2026-04-16 10:54:20+02:00,6.0,,,2026-04-16 11:00:30+02:00,15.0
ERIC65,Nord,,,2026-04-16 10:12:09+02:00,7.0,2026-04-16 10:17:47+02:00,6.0,2026-04-16 10:38:00+02:00,6.0,2026-04-16 10:57:10+02:00,3.0,2026-04-16 11:09:30+02:00,8.0,,
EPAF67,Nord,,,2026-04-16 10:20:19+02:00,8.0,2026-04-16 10:24:46+02:00,7.0,2026-04-16 10:41:00+02:00,3.0,2026-04-16 11:03:10+02:00,6.0,2026-04-16 11:16:50+02:00,7.0,,
ILOT69,Nord,2026-04-16 10:24:38+02:00,15.0,,,2026-04-16 10:26:41+02:00,2.0,2026-04-16 10:47:00+02:00,6.0,2026-04-16 11:09:20+02:00,6.0,,,2026-04-16 11:15:50+02:00,15.0
ERIC71,Nord,,,2026-04-16 10:27:09+02:00,7.0,2026-04-16 10:32:47+02:00,6.0,2026-04-16 10:53:00+02:00,6.0,2026-04-16 11:12:10+02:00,3.0,2026-04-16 11:24:30+02:00,8.0,,
EPAF73,Nord,,,2026-04-16 10:35:19+02:00,8.0,2026-04-16 10:39:46+02:00,7.0,2026-04-16 10:56:00+02:00,3.0,2026-04-16 11:18:10+02:00,6.0,2026-04-16 11:31:50+02:00,7.0,,
ILOT75,Nord,2026-04-16 10:39:38+02:00,15.0,,,2026-04-16 10:41:41+02:00,2.0,2026-04-16 11:02:00+02:00,6.0,2026-04-16 11:24:20+02:00,6.0,,,2026-04-16 11:30:30+02:00,15.0
