date_observation,direction,ecart_moyen,ecart_median,ecart_max
2026-04-13 23:15:05.786618,Nord,2.3333333333333335,1.0,6
2026-04-13 23:15:05.786618,Sud,1.2,0.0,8
2026-04-13 23:20:06.795127,Nord,1.5,1.5,2
2026-04-13 23:20:06.795127,Sud,1.1,0.0,8
2026-04-13 23:25:06.121964,Nord,2.0,2.0,2
2026-04-13 23:25:06.121964,Sud,0.75,0.0,7
2026-04-13 23:30:05.953716,Nord,2.0,2.0,2
2026-04-13 23:30:05.953716,Sud,0.1111111111111111,0.0,1
2026-04-13 23:35:06.850808,Nord,2.0,2.0,2
2026-04-13 23:35:06.850808,Sud,0.1,0.0,1
2026-04-13 23:40:05.682925,Nord,2.0,2.0,2
2026-04-13 23:40:05.682925,Sud,0.25,0.0,2
2026-04-13 23:45:07.152280,Nord,2.0,2.0,2
2026-04-13 23:45:07.152280,Sud,0.2727272727272727,0.0,1
2026-04-13 23:50:07.676752,Nord,2.0,2.0,2
2026-04-13 23:50:07.676752,Sud,0.2727272727272727,0.0,1
2026-04-13 23:55:07.059064,Nord,2.0,2.0,2
2026-04-13 23:55:07.059064,Sud,0.08333333333333333,0.0,1
2026-04-14 00:00:05.486691,Sud,0.1111111111111111,0.0,1
2026-04-14 00:05:06.172294,Sud,0.0,0.0,0
2026-04-14 00:10:06.033743,Sud,0.14285714285714285,0.0,1
2026-04-14 00:15:06.346631,Sud,0.5,0.0,2
2026-04-14 00:20:06.738197,Sud,0.5,0.0,2
2026-04-14 00:25:06.750327,Sud,0.5714285714285714,0.0,3
2026-04-14 00:30:06.022424,Sud,0.6666666666666666,0.0,3
2026-04-14 00:35:07.305084,Sud,0.0,0.0,0
2026-04-14 00:40:06.518829,Sud,0.0,0.0,0
2026-04-14 00:45:06.646862,Sud,0.0,0.0,0
2026-04-14 00:50:07.125782,Sud,1.5,1.5,3
2026-04-14 00:55:07.172014,Sud,1.0,0.0,3
2026-04-14 01:00:06.390595,Sud,1.3333333333333333,1.0,3
2026-04-14 01:05:07.307211,Sud,1.3333333333333333,1.0,3
2026-04-14 01:10:06.868723,Sud,1.3333333333333333,1.0,3
2026-04-14 01:15:06.813301,Sud,1.6666666666666667,2.0,3
2026-04-14 06:00:05.657021,Nord,0.25,0.0,1
2026-04-14 06:00:05.657021,Sud,0.6363636363636364,0.0,2
2026-04-14 06:05:07.083233,Nord,0.08333333333333333,0.0,1
2026-04-14 06:05:07.083233,Sud,0.5833333333333334,0.0,2
2026-04-14 06:10:06.115427,Nord,0.21428571428571427,0.0,1
2026-04-14 06:10:06.115427,Sud,0.46153846153846156,0.0,2
2026-04-14 06:15:07.376635,Nord,0.2,0.0,1
2026-04-14 06:15:07.376635,Sud,0.2857142857142857,0.0,2
2026-04-14 06:20:07.793828,Nord,0.07692307692307693,0.0,1
2026-04-14 06:20:07.793828,Sud,0.13333333333333333,0.0,1
2026-04-14 06:25:06.328761,Nord,0.125,0.0,1
2026-04-14 06:25:06.328761,Sud,0.4375,0.0,4
2026-04-14 06:30:07.555781,Nord,0.13333333333333333,0.0,1
