geo_point_2d;geo_shape;objectid_1;id_gares;nom_gares;nom_so_gar;nom_su_gar;id_ref_zdc;nom_zdc;id_ref_zda;nom_zda;idrefliga;idrefligc;res_com;indice_lig;mode;tertrain;terrer;termetro;tertram;terval;exploitant;idf;principal;x;y;picto;nom_iv
48.8210896506153, 2.3389784720131814;"{""coordinates"": [2.338978472013181, 48.8210896506153], ""type"": ""Point""}";489;189;Cité Universitaire;;;70623;Cité universitaire;473843;Cité Universitaire;A01857;C01743;RER B;B;RER;0;0;0;0;0;RATP;1;0;651465.8891;6858094.9267;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Cité Universitaire
48.85211888263096, 2.34402115205528;"{""coordinates"": [2.34402115205528, 48.85211888263096], ""type"": ""Point""}";528;827;Saint-Michel;Notre-Dame;;73620;Saint-Michel Notre-Dame;44877;Saint-Michel Notre-Dame;A01857;C01743;RER B;B;RER;0;0;0;0;0;RATP;1;0;651864.7911;6861541.954;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Saint-Michel
48.798892500080676, 2.328136923064751;"{""coordinates"": [2.328136923064751, 48.798892500080676], ""type"": ""Point""}";22;22;Arcueil-Cachan;;;70263;Arcueil - Cachan;43067;Arcueil - Cachan;A01857;C01743;RER B;B;RER;0;0;0;0;0;RATP;1;0;650648.8903;6855633.6247;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Arcueil-Cachan
48.93219600596196, 2.495513142584314;"{""coordinates"": [2.495513142584314, 48.93219600596196], ""type"": ""Point""}";29;37;Aulnay-sous-Bois;;;72646;Aulnay-sous-Bois;43071;Aulnay-sous-Bois;A01857;C01743;RER B;B;RER;0;0;0;0;0;SNCF;1;1;663037.8693;6870364.5512;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Aulnay-sous-Bois
48.76169369040741, 2.3042273475518598;"{""coordinates"": [2.30422734755186, 48.76169369040741], ""type"": ""Point""}";140;392;La Croix-de-Berny-Fresnes;;;69813;La Croix de Berny;46007;La Croix de Berny Fresnes;A01857;C01743;RER B;B;RER;0;0;0;0;0;RATP;1;0;648856.2342;6851512.9527;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;La Croix-de-Berny-Fresnes
48.97585875402046, 2.6424063023101896;"{""coordinates"": [2.64240630231019, 48.97585875402046], ""type"": ""Point""}";162;551;Mitry-Claye;;;69065;Mitry - Claye;43164;Mitry - Claye;A01857;C01743;RER B;B;RER;0;RER B;0;0;0;SNCF;1;1;673822.1592;6875161.2649;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Mitry-Claye
48.84543415048044, 2.339762849560476;"{""coordinates"": [2.339762849560476, 48.84543415048044], ""type"": ""Point""}";206;484;Luxembourg;;;71161;Luxembourg;43833;Luxembourg;A01857;C01743;RER B;B;RER;0;0;0;0;0;RATP;1;0;651546.1125;6860801.2806;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Luxembourg
48.70814058364534, 2.237314364639455;"{""coordinates"": [2.237314364639455, 48.70814058364534], ""type"": ""Point""}";212;617;Palaiseau-Villebon;;;63067;Palaiseau - Villebon;43175;Palaiseau - Villebon;A01857;C01743;RER B;B;RER;0;0;0;0;0;RATP;1;0;643880.336;6845604.4536;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Palaiseau-Villebon
48.944181065974725, 2.5664480169630006;"{""coordinates"": [2.566448016963001, 48.944181065974725], ""type"": ""Point""}";346;889;Vert-Galant;;;73482;Vert Galant;46222;Vert Galant;A01857;C01743;RER B;B;RER;0;0;0;0;0;SNCF;1;0;668242.3008;6871666.4393;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Vert-Galant
48.962709513300425, 2.512644627819613;"{""coordinates"": [2.512644627819613, 48.962709513300425], ""type"": ""Point""}";354;905;Villepinte;;;73547;Villepinte;58793;Villepinte;A01857;C01743;RER B;B;RER;0;0;0;0;0;SNCF;1;0;664313.9648;6873749.8355;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Villepinte
48.83307317062929, 2.333203670349575;"{""coordinates"": [2.333203670349575, 48.83307317062929], ""type"": ""Point""}";409;235;Denfert-Rochereau;;;71056;Denfert Rochereau;473890;Denfert-Rochereau;A01857;C01743;RER B;B;RER;0;0;0;0;0;RATP;1;0;651053.1484;6859430.9166;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Denfert-Rochereau
48.76956333368779, 2.309905064564246;"{""coordinates"": [2.309905064564246, 48.76956333368779], ""type"": ""Point""}";429;622;Parc de Sceaux;;;69906;Parc de Sceaux;43177;Parc de Sceaux;A01857;C01743;RER B;B;RER;0;0;0;0;0;RATP;1;0;649281.2192;6852384.2514;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Parc de Sceaux
49.00468746180567, 2.57058948552452;"{""coordinates"": [2.57058948552452, 49.00468746180567], ""type"": ""Point""}";467;744;Aéroport Charles De Gaulle 2-TGV;;;73699;Aéroport CDG - Terminal 2 (TGV);473364;Aéroport Charles de Gaulle 2 (Terminal 2);A01857;C01743;RER B;B;RER;0;RER B;0;0;0;SNCF;1;1;668582.2523;6878393.4208;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Aéroport Charles De Gaulle 2-TGV
48.73488814734515, 2.2740024044842477;"{""coordinates"": [2.274002404484248, 48.73488814734515], ""type"": ""Point""}";505;523;Massy-Verrières;;;63320;Massy - Verrières;47940;Massy - Verrières;A01857;C01743;RER B;B;RER;0;0;0;0;0;RATP;1;0;646607.1661;6848552.7229;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Massy-Verrières
